n,sigma,p,true_quantile,empirical_variance,theoretical_variance,golden_mean_var,golden_bias,golden_rel_bias,golden_coverage,plugin_mean_var,plugin_bias,plugin_rel_bias,plugin_mse,plugin_coverage,bootstrap_mean_var,bootstrap_bias,bootstrap_rel_bias,bootstrap_mse,bootstrap_coverage
30,0.5,0.95,2.276016608514317,0.1380364094729491,0.19277276574987948,0.19277276574987948,0.05473635627693038,0.3965356421970468,0.976,0.23748904427507359,0.09945263480212449,0.7204811772622509,2.9624711792717853,0.742,0.1862139439671725,0.048177534494223406,0.3490204843647772,0.08666511754463484,0.808
100,0.5,0.95,2.276016608514317,0.05102912692437073,0.05783182972496384,0.05783182972496384,0.006802702800593113,0.13331019381686202,0.956,0.043243938150132305,-0.007785188774238422,-0.15256362872476142,0.0016551593413891915,0.838,0.06792459545928745,0.01689546853491672,0.331094603283281,0.0034174973496078507,0.908
500,0.5,0.95,2.276016608514317,0.011671262089604631,0.011566365944992767,0.011566365944992767,-0.0001048961446118643,-0.00898755796986971,0.95,0.010176185600863167,-0.0014950764887414637,-0.12809895598806745,1.9880988925980106e-05,0.908,0.012725677175401405,0.0010544150857967737,0.09034285047337948,4.007410394847372e-05,0.936
1000,0.5,0.95,2.276016608514317,0.005533281051969097,0.005783182972496383,0.005783182972496383,0.00024990192052728663,0.045163424409529224,0.962,0.005268452542586192,-0.0002648285093829047,-0.04786102619686411,2.949043909283223e-06,0.93,0.006151609972718919,0.0006183289207498223,0.11174724633403199,8.696615530687673e-06,0.946
30,0.5,0.99,3.200074007942962,0.41393785776437503,1.1893501991881998,1.1893501991881998,0.7754123414238248,1.8732578498901424,0.994,1.7914366452543509,1.3774987874899758,3.3277912654079747,179.5025916026161,0.424,0.21045309257838235,-0.20348476518599268,-0.49158288223499935,0.27563945418745933,0.46
100,0.5,0.99,3.200074007942962,0.21966467776555212,0.35680505975645993,0.35680505975645993,0.1371403819909078,0.6243169515732411,0.992,0.09950572780585697,-0.12015894995969516,-0.5470107947347852,0.02640779582185719,0.61,0.30311374725655055,0.08344906949099842,0.37989298206634536,0.31291487758960407,0.74
500,0.5,0.99,3.200074007942962,0.06222636898729095,0.07136101195129199,0.07136101195129199,0.009134642964001044,0.14679697871920977,0.964,0.049520281935776,-0.01270608705151495,-0.2041913622520708,0.0031056319864860298,0.774,0.08456072239529876,0.02233435340800781,0.35892104539426617,0.005644993309627529,0.888
1000,0.5,0.99,3.200074007942962,0.03428784869289108,0.035680505975645996,0.035680505975645996,0.0013926572827549152,0.04061664221714953,0.968,0.0317299543149886,-0.002557894377902478,-0.07460060853665654,0.0007834406037596735,0.874,0.042183714872798546,0.007895866179907465,0.23028176105853265,0.0008789160675128231,0.916
30,1.0,0.95,5.180251602233013,3.554960556164984,3.9944457145708094,3.9944457145708094,0.43948515840582525,0.12362588880027757,0.97,32.39057458291474,28.835614026749752,8.111373831347652,91234.73032484876,0.684,6.8916651110841665,3.3367045549191823,0.9386052256283677,308.6273768389284,0.818
100,1.0,0.95,5.180251602233013,1.273471792699387,1.198333714371243,1.198333714371243,-0.07513807832814412,-0.059002546235337815,0.948,0.9687904635436698,-0.3046813291557172,-0.2392525149770943,2.748628425150818,0.778,1.8626091716415458,0.5891373789421588,0.4626230296733626,5.824330115046323,0.876
500,1.0,0.95,5.180251602233013,0.2065262457085579,0.23966674287424858,0.23966674287424858,0.033140497165690674,0.16046627416283596,0.974,0.20602750711542994,-0.000498738593127962,-0.00241489207057859,0.012580625607690025,0.906,0.26632782475584577,0.05980157904728786,0.28955922208394574,0.027471948368931493,0.934
1000,1.0,0.95,5.180251602233013,0.1179082200474999,0.11983337143712429,0.11983337143712429,0.0019251513896243883,0.016327541785032727,0.95,0.10866149847779,-0.009246721569709904,-0.07842304434741544,0.0018970549291699736,0.91,0.1315247293323211,0.013616509284821193,0.11548396947503504,0.0037903752863604136,0.928
30,1.0,0.99,10.240473656312131,13.801311432127859,48.71803753166538,48.71803753166538,34.91672609953752,2.529957118296412,0.992,249.6978630064621,235.89655157433424,17.092328706183263,3864640.256287676,0.434,6.08266459121006,-7.718646840917799,-0.5592690867731367,265.0539871285981,0.43
100,1.0,0.99,10.240473656312131,9.774322998545237,14.615411259499615,14.615411259499615,4.841088260954377,0.49528629877229363,0.986,2.1834987770686847,-7.590824221476552,-0.7766086942907794,66.30707185556572,0.47,13.616556031922268,3.842233033377031,0.393094543115558,1237.4879902497707,0.716
500,1.0,0.99,10.240473656312131,2.591387109964109,2.9230822518999227,2.9230822518999227,0.3316951419358136,0.1279990707140654,0.972,1.933096183548164,-0.6582909264159451,-0.2540303314332155,6.213625908322061,0.778,4.208625250189781,1.6172381402256724,0.6240820346783585,37.004021993695716,0.904
1000,1.0,0.99,10.240473656312131,1.4616544258112412,1.4615411259499613,1.4615411259499613,-0.00011329986127983638,-7.75148073847573e-05,0.954,1.272689822965179,-0.1889646028460621,-0.12928131267497361,2.2414645927592836,0.838,1.8643488703107243,0.4026944444994831,0.2755059180804528,2.508464702746982,0.92
30,1.5,0.95,11.790338682965238,42.62039217847727,46.55752607911099,46.55752607911099,3.937133900633725,0.0923767637835563,0.96,737.8667588237482,695.246366645271,16.31252860681937,56876006.106180206,0.586,182.37163425462467,139.7512420761474,3.2789759768264153,1404360.4293616354,0.75
