"Sigma","n","Quantile","True_Q","MC_Var","Est_Var","Rel_Bias_Pct","Coverage"
0.5,200,"Median (0.5)",1,0.00190865089927919,0.00207077696471641,8.49427548528881,0.946
0.5,200,"P90 (0.9)",1.89795270733471,0.0134349269993317,0.0178113956010069,32.5753061545698,0.953
0.5,500,"Median (0.5)",1,0.000787797362415525,0.000815719348038951,3.54431062549021,0.946
0.5,500,"P90 (0.9)",1.89795270733471,0.00522072910476167,0.00640119637073633,22.6111572212775,0.959
0.5,1000,"Median (0.5)",1,0.000407643441855961,0.000400811521282053,-1.67595498232544,0.936
0.5,1000,"P90 (0.9)",1.89795270733471,0.00253747049676557,0.00284226775631895,12.0118543227162,0.945
0.5,2000,"Median (0.5)",1,0.000183022238922321,0.000201405599837534,10.0443317836451,0.955
0.5,2000,"P90 (0.9)",1.89795270733471,0.00125812484270587,0.00143463282786664,14.02944915873,0.952
1,200,"Median (0.5)",1,0.00830203043435451,0.0082812175174517,-0.250696706876575,0.923
1,200,"P90 (0.9)",3.60222447927916,0.180121722940235,0.283942854268109,57.6394282894583,0.967
1,500,"Median (0.5)",1,0.00307647264848531,0.00331120790480647,7.63001278222726,0.95
1,500,"P90 (0.9)",3.60222447927916,0.0730849593592619,0.0936972897536826,28.2032453395742,0.955
1,1000,"Median (0.5)",1,0.0016214563212612,0.00163273000253075,0.695281218601087,0.947
1,1000,"P90 (0.9)",3.60222447927916,0.0368328935350481,0.0418898295226652,13.7294019075781,0.95
1,2000,"Median (0.5)",1,0.000819717405173642,0.000803237248710236,-2.0104680417168,0.95
1,2000,"P90 (0.9)",3.60222447927916,0.0194458891623152,0.0208093725724558,7.01167942879632,0.944
1.5,200,"Median (0.5)",1,0.0184567303611572,0.0193874316266996,5.04261181330947,0.938
1.5,200,"P90 (0.9)",6.83685170287525,1.49882344605659,2.66020606089279,77.4862855189381,0.959
1.5,500,"Median (0.5)",1,0.00686989687243118,0.00738451649137801,7.49093659632639,0.949
1.5,500,"P90 (0.9)",6.83685170287525,0.716525881698453,0.80483672767817,12.3248647725585,0.933
1.5,1000,"Median (0.5)",1,0.00339762897101961,0.00363508391088757,6.98884256913719,0.948
1.5,1000,"P90 (0.9)",6.83685170287525,0.299020058183079,0.35088498748434,17.344966627458,0.959
1.5,2000,"Median (0.5)",1,0.00177246445003231,0.00183439720414865,3.49416058049609,0.946
1.5,2000,"P90 (0.9)",6.83685170287525,0.16150698876739,0.171746891326236,6.34022257302693,0.946
